거래일,적요,입금액,출금액,잔액
2024-01-01,합성 정기 수입,1000000,,1000000
2024-01-10,합성 고정비,,300000,700000
2024-02-01,합성 정기 수입,1000000,,1700000
2024-02-10,합성 고정비,,300000,1400000
2024-03-01,합성 정기 수입,1000000,,2400000
2024-03-10,합성 고정비,,300000,2100000
2024-04-01,합성 정기 수입,1000000,,3100000
2024-04-10,합성 고정비,,300000,2800000
2024-05-01,합성 정기 수입,1000000,,3800000
2024-05-10,합성 고정비,,300000,3500000
2024-06-01,합성 정기 수입,1000000,,4500000
2024-06-10,합성 고정비,,300000,4200000
2024-07-01,합성 정기 수입,1000000,,5200000
2024-07-10,합성 고정비,,300000,4900000
2024-08-01,합성 정기 수입,1000000,,5900000
2024-08-10,합성 고정비,,300000,5600000
2024-09-01,합성 정기 수입,1000000,,6600000
2024-09-10,합성 고정비,,300000,6300000
2024-10-01,합성 정기 수입,1000000,,7300000
2024-10-10,합성 고정비,,300000,7000000
2024-11-01,합성 정기 수입,1000000,,8000000
2024-11-10,합성 고정비,,300000,7700000
2024-12-01,합성 정기 수입,1000000,,8700000
2024-12-10,합성 고정비,,300000,8400000
2025-01-01,합성 정기 수입,1000000,,9400000
2025-01-10,합성 고정비,,300000,9100000
2025-02-01,합성 정기 수입,1000000,,10100000
2025-02-10,합성 고정비,,300000,9800000
2025-03-01,합성 정기 수입,1000000,,10800000
2025-03-10,합성 고정비,,300000,10500000
2025-04-01,합성 정기 수입,1000000,,11500000
2025-04-10,합성 고정비,,300000,11200000
2025-05-01,합성 정기 수입,1000000,,12200000
2025-05-10,합성 고정비,,300000,11900000
2025-06-01,합성 정기 수입,1000000,,12900000
2025-06-10,합성 고정비,,300000,12600000
2025-07-01,합성 정기 수입,1000000,,13600000
2025-07-10,합성 고정비,,300000,13300000
2025-08-01,합성 정기 수입,1000000,,14300000
2025-08-10,합성 고정비,,300000,14000000
2025-09-01,합성 정기 수입,1000000,,15000000
2025-09-10,합성 고정비,,300000,14700000
2025-10-01,합성 정기 수입,1000000,,15700000
2025-10-10,합성 고정비,,300000,15400000
2025-11-01,합성 정기 수입,1000000,,16400000
2025-11-10,합성 고정비,,300000,16100000
2025-12-01,합성 정기 수입,1000000,,17100000
2025-12-10,합성 고정비,,300000,16800000
2026-01-01,합성 정기 수입,1000000,,17800000
2026-01-10,합성 고정비,,300000,17500000
2026-02-01,합성 정기 수입,1000000,,18500000
2026-02-10,합성 고정비,,300000,18200000
2026-03-01,합성 정기 수입,1000000,,19200000
2026-03-10,합성 고정비,,300000,18900000
2026-04-01,합성 정기 수입,1000000,,19900000
2026-04-10,합성 고정비,,300000,19600000
2026-05-01,합성 정기 수입,1000000,,20600000
2026-05-10,합성 고정비,,300000,20300000
2026-06-01,합성 정기 수입,1000000,,21300000
2026-06-10,합성 고정비,,300000,21000000
2026-07-01,합성 정기 수입,1000000,,22000000
2026-07-10,합성 고정비,,300000,21700000
2026-08-01,합성 정기 수입,1000000,,22700000
2026-08-10,합성 고정비,,300000,22400000
날짜미정,합성 날짜 확인 필요,,40000,
2026-09-10,합성 미래 예정 지출,,120000,
